"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"COEA1",0.90224,0.93951,0.90658,0.90088,0.89691,0.89558,0.89652,0.89687
"CA2D2",0.9008,0.94841,0.97277,1.0114,1.016,1.0169,1.0164,1.0163
"VTM2A",0.8984,1.3272,1.3174,1.3222,1.3154,1.3176,1.317,1.3169
"ERAP1",0.89721,0.74877,0.76113,0.75168,0.74754,0.74651,0.74623,0.74653
"IGSF8",0.89704,1.1697,1.1283,1.1025,1.0955,1.0957,1.0952,1.0951
"IGL1",0.89411,0.7186,0.7566,0.88757,0.88724,0.88846,0.88838,0.88826
"PTPRS",0.89374,0.86857,0.84873,0.88195,0.88765,0.88636,0.88745,0.88766
"MMP2",0.89244,1.1657,1.1642,1.1439,1.1393,1.1377,1.1373,1.1371
"FIBB",0.88478,1.0876,1.0559,1.0982,1.0963,1.0967,1.0963,1.0962
"FA12",0.87725,1.1346,1.1133,1.1159,1.1102,1.1089,1.1092,1.1091
"LAMA2",0.87435,0.69783,0.67298,0.66433,0.6626,0.66283,0.66317,0.6631
"A2MG",0.86977,0.86787,1.1916,1.1769,1.1697,1.1687,1.1684,1.1683
"KVD16",0.85819,0.68565,0.66032,0.7384,0.7354,0.73444,0.73448,0.73495
"CATZ",0.85502,1.1598,1.1208,1.1095,1.1022,1.1141,1.1138,1.1137
"SFRP3",0.85325,1.1246,1.084,1.1247,1.1221,1.1225,1.1224,1.1223
"MLEC",0.84975,0.96716,0.96425,0.94219,0.94093,0.94515,0.94635,0.94629
"OMGP",0.84908,0.67771,0.65322,0.63871,0.63539,0.63483,0.63479,0.63474
"HABP2",0.84877,0.77767,0.76303,0.74817,0.75,0.7512,0.75103,0.75096
"HV169",0.84854,0.77279,0.74598,0.7336,0.75428,0.75599,0.75668,0.75687
"NCHL1",0.84409,0.69158,0.83835,0.83014,0.82479,0.8237,0.82332,0.82321
"LYSC",0.84367,1.1613,1.1202,1.0951,1.0883,1.0889,1.0884,1.0885
"CYTM",0.83975,0.72597,0.74716,0.77625,0.78556,0.78584,0.78558,0.78572
"APOH",0.83633,0.81681,0.82039,0.87218,0.9278,0.92671,0.92652,0.92641
"ATRN",0.83403,1.0925,1.0607,1.0394,1.0339,1.0323,1.0319,1.0318
"IC1",0.8295,1.1692,1.1757,1.1498,1.1484,1.148,1.1482,1.1482
"GLYLB",0.8286,1.5276,1.4707,1.443,1.4336,1.4323,1.4316,1.4315
"MFGM",0.82074,0.75524,0.74045,0.7635,0.76111,0.75996,0.76002,0.7602
"EPHAA",0.81756,0.65797,0.66045,0.71942,0.71475,0.72454,0.72422,0.72421
"ITIH2",0.8125,1.2826,1.2587,1.2427,1.2347,1.2337,1.2331,1.2334
"LV147",0.80897,0.82136,0.79505,0.82211,0.83995,0.83866,0.83849,0.83839
"PGRP2",0.80818,0.93175,0.94699,0.94568,0.94005,0.93883,0.93895,0.93901
"CO1A2",0.80773,1.0032,0.96979,1.0027,0.99973,0.9984,0.99859,0.99854
"ENOG",0.80722,0.99971,0.9649,0.95239,0.94675,0.94773,0.94761,0.94755
"PRDX2",0.80536,0.77908,0.76645,0.80892,0.80391,0.80783,0.80792,0.80785
"GNPTG",0.80528,0.8095,0.78907,0.77642,0.77492,0.77566,0.77536,0.77557
"ADIPO",0.80462,0.65797,0.6341,0.65482,0.67889,0.68754,0.68953,0.69001
"ANGI",0.80177,0.64701,0.62277,0.61656,0.62015,0.61919,0.61953,0.61945
"HBD",0.79861,1.0779,1.0615,1.0544,1.0475,1.0469,1.0471,1.0473
"CADH6",0.79501,0.89237,0.86054,0.84242,0.83844,0.83747,0.83736,0.83725
"NTRK2",0.79424,1.0507,1.0415,1.0231,1.0165,1.0156,1.0172,1.0171
"RET4",0.79363,1.2002,1.1597,1.1678,1.1709,1.1692,1.1687,1.1689
"IPSP",0.79356,1.1962,1.1533,1.1402,1.1328,1.1313,1.1316,1.1316
"TSP4",0.79354,0.80973,0.77979,0.76267,0.75833,0.76214,0.7619,0.76183
"PLTP",0.79125,0.95213,0.99063,0.96901,0.96653,0.96546,0.96921,0.96949
